Domain,Score,Orientation,Occorrenze,Views,Forwards
theconservativetreehouse.com,20.0,Right,777,1062731,17238
fortune.com,100.0,,776,2990915,49205
theglobeandmail.com,100.0,,769,3678613,9901
off-guardian.org,12.5,,769,1296993,15867
examinerlive.co.uk,100.0,,767,693567,3424
voanews.com,100.0,,767,836413,7633
gazette.com,92.5,,766,553268,3306
thehighwire.com,22.5,,765,910585,12715
7news.com.au,80.0,,757,1259857,13363
dw.com,95.0,,752,956374,8164
essexlive.news,100.0,,749,96342,475
borderreport.com,92.5,,745,517399,3280
thenewamerican.com,35.0,Right,743,335624,4034
kdvr.com,87.5,,741,106707,955
tagesschau.de,95.0,,734,1555171,21597
lemonde.fr,95.0,,729,2024978,6479
projectveritas.com,57.5,Right,726,7513672,66657
wsbtv.com,82.5,,723,771572,5535
americanmilitarynews.com,100.0,,714,3853046,29267
rtnewsde.pro,20.0,,712,1323720,13917
thelancet.com,92.5,,711,1738850,21720
brownstone.org,40.0,Right,711,1478722,21558
thetimes.co.uk,100.0,,709,1377382,8562
orientalreview.su,12.5,,709,569429,3132
uk.news.yahoo.com,100.0,,709,2703388,13689
cfr.org,100.0,,703,456827,5589
click2houston.com,100.0,,701,653524,6793
fox13now.com,100.0,,701,555079,5446
azcentral.com,100.0,,700,3479609,73164
ksl.com,100.0,,699,196464,2059
theamericanconservative.com,85.0,Right,696,418283,2489
tichyseinblick.de,82.0,Right,695,4811651,51013
miamiherald.com,100.0,,694,1798095,20097
msnbc.com,49.5,Left,689,526274,4475
infobrics.org,12.5,,688,138590,657
stuff.co.nz,80.0,,685,520870,9695
afr.com,80.0,,671,974692,16267
detroitnews.com,92.5,,669,386463,2153
foreignpolicy.com,100.0,,665,912189,6134
newyorker.com,87.5,Left,660,395523,4085
theaustralian.com.au,87.5,,653,734466,9164
kktv.com,100.0,,651,257061,1447
fox59.com,87.5,,651,1339308,21337
kutv.com,90.0,,644,231924,1341
azfamily.com,87.5,,644,685945,4532
kirschsubstack.com,37.5,,643,3500681,90349
jungefreiheit.de,95.0,Right,636,2531004,29553
sueddeutsche.de,100.0,,636,1322502,14807
t-online.de,100.0,,635,2260094,30868
nottinghampost.com,100.0,,635,206052,1344
torontosun.com,92.5,,631,899480,9254
thetimes.com,100.0,,628,2122703,14904
history.com,75.0,,623,544688,5349
vox.com,87.5,Left,621,535655,4620
hrw.org,100.0,,620,1009502,2670
merkur.de,100.0,,620,4266781,79961
operationdisclosureofficial.com,20.0,Right,616,717597,4302
washingtonstand.com,74.5,Right,606,188853,1154
mlive.com,100.0,,605,597475,3769
c-span.org,82.5,,604,847120,13715
thegrayzone.com,17.5,Left,595,481430,5605
smithsonianmag.com,100.0,,595,204082,2147
thealtworld.com,22.5,Left,589,49755,264
nbcnewyork.com,82.5,,585,758634,5221
banned.video,7.5,Right,578,2318240,34564
vice.com,82.5,Left,573,643467,11791
christianpost.com,74.5,,569,1726630,12584
heraldsun.com.au,92.5,,567,1622586,30997
blackout-news.de,65.0,,560,1652355,23128
townhall.com,69.5,Right,560,1638938,10791
commondreams.org,100.0,Left,560,72237,1115
forward.com,100.0,,558,587659,6837
khou.com,100.0,,556,989146,9002
plantbasednews.org,80.0,,554,9124,117
ctvnews.ca,92.5,,554,400576,3471
catholicnewsagency.com,62.0,,553,531364,3942
conservativewoman.co.uk,40.0,Right,552,3243792,66610
multipolar-magazin.de,82.0,,552,3575233,78352
scientificamerican.com,100.0,,552,735159,11692
bitcoinmagazine.com,77.5,,549,206395,1813
ir-press.ru,25.0,,549,2521798,5444
9news.com,100.0,,548,680442,8674
cis.org,92.5,Right,547,1943181,18436
marketwatch.com,100.0,,545,1121952,6884
stern.de,92.5,,541,1516083,22735
rtnewsde.com,20.0,,541,2237300,32136
loomered.com,12.5,Right,539,1256849,7875
abc4.com,92.5,,539,252307,1923
vdare.com,30.0,Right,536,289633,1501
twz.com,100.0,,533,1878742,18937
fox10phoenix.com,87.5,,531,504590,3682
exxpress.at,44.5,,531,1121555,16277
slate.com,87.5,Left,530,2411032,21618
abc13.com,95.0,,529,459570,5124
transition-news.org,27.5,,525,4128940,73652
repubblica.it,87.5,,524,572309,5515
tehrantimes.com,7.5,,520,1186709,3464
city-journal.org,92.5,Right,518,1381093,21223
fox13news.com,90.0,,516,309296,2553
electronicintifada.net,62.0,,511,58481,681
westernstandard.news,47.5,,508,1489369,34050
fox4news.com,82.5,,506,366845,2980
fda.gov,77.5,,506,1698629,67580
wkrn.com,92.5,,504,258751,2198
lawandcrime.com,100.0,,504,381335,3484
cpr.org,100.0,,498,130801,2077
unherd.com,92.5,,497,1338499,10387
deseret.com,100.0,,495,228472,1303
nbcmiami.com,87.5,,493,223076,1783
thelastamericanvagabond.com,17.5,,492,1271246,22390
vaticannews.va,82.5,,492,3174994,30584
kron4.com,87.5,,491,266449,3548
couriermail.com.au,100.0,,491,1046809,14620
fox43.com,87.5,,490,931433,7467
investopedia.com,100.0,,488,493611,6199
thescottishsun.co.uk,92.5,,487,469493,3037
techcrunch.com,92.5,,486,510193,3632
dailypost.co.uk,100.0,,483,268750,1535
healthimpactnews.com,12.5,,480,728954,12504
english.alarabiya.net,39.5,,480,1500932,7086
getsurrey.co.uk,100.0,,471,47726,204
wfla.com,87.5,,469,272926,2310
reviewjournal.com,92.5,,469,2768339,60593
cbs12.com,90.0,,464,280919,2019
en.sputniknews.africa,12.5,,463,20490,65
cairnsnews.org,12.5,Right,463,1983567,48974
tmz.com,64.5,,459,1102625,17956
brookings.edu,100.0,,459,280704,1435
timesnownews.com,62.0,,456,1078610,11477
jta.org,100.0,,455,848806,7119
greenmedinfo.com,25.0,,454,851709,21772
kcra.com,100.0,,453,350717,4007
aussie17.com,20.0,Right,452,818020,18327
salon.com,100.0,Left,452,192264,1109
espn.com,87.5,,451,435279,2988
ktvu.com,87.5,,450,1267538,5859
moderndiplomacy.eu,32.0,,449,34392,269
12news.com,95.0,,447,156147,1666
taskandpurpose.com,100.0,,445,778214,5706
fox2now.com,87.5,,444,517248,7330
wnd.com,17.5,Right,439,1863080,18812
themessenger.com,100.0,,438,1205604,4502
fox2detroit.com,95.0,,435,498477,4007
pewresearch.org,92.5,,434,113982,2008
derstandard.at,95.0,,432,1062727,9293
pennlive.com,100.0,,431,377169,2714
journal-neo.su,17.5,,430,2718224,10648
