Id,Label,type,degree,closnesscentrality,betweenesscentrality,Authority,eigencentrality
1556995409,,User,1,0.321701,0,0.003096,0.006674
1400444773,,User,1,0.321701,0,0.003096,0.006674
536495674,,User,1,0.31242,0,0.001171,0.003234
6424010210,,User,1,0.301123,0,0.001251,0.003028
7610367700,,User,2,0.315959,0,0.002677,0.006422
1591814573,,User,1,0.319953,0,0.002272,0.005688
5529450487,,User,1,0.319953,0,0.002272,0.005688
7310152673,,User,1,0.319953,0,0.002272,0.005688
7958540769,,User,2,0.318467,0,0.002201,0.005395
5115002067,,User,1,0.308415,0,0.00103,0.002161
1461890956,,User,1,0.308694,0,0.001417,0.002989
6876942098,,User,1,0.308415,0,0.00103,0.002161
657249543,,User,1,0.233901,0,0.000012,0.000411
2124973743,,User,1,0.233901,0,0.000012,0.000411
5129810697,,User,1,0.233901,0,0.000012,0.000411
5079600647,,User,3,0.294522,0,0.00092,0.001834
593612059,,User,5,0.316981,0,0.002901,0.005537
1932845410,,User,1,0.243156,0,0.000044,0.000286
1715610140,,User,3,0.341787,0,0.011355,0.023179
1667126976,,User,1,0.321701,0,0.003096,0.006674
85744974,,User,1,0.321701,0,0.003096,0.006674
1577761834,,User,1,0.319682,0,0.002523,0.007527
25693284,,User,1,0.21212,0,0.000005,0.000391
606169675,,User,1,0.21212,0,0.000005,0.000391
526899208,,User,1,0.21212,0,0.000005,0.000391
1522555702,,User,1,0.319682,0,0.002523,0.007527
835500600,,User,1,0.529412,0,0,0.000126
derblauekanal,,Channel,9,1,36,0,0.000998
1110089142,,User,1,0.529412,0,0,0.000126
1150552049,,User,4,0.337545,0,0.010007,0.019566
1429825843,,User,1,0.321931,0,0.005679,0.010891
